timestamp,input1,input2,input3,input4,input5,input6,input7,input8,input9,input10,input11,input12,input13,input14,input15,input16,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,sa,sb,sc,sd,tx-voltage,timer1,timer2
3288,-33,-99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99,-33,0,100,0,0,0,0,0,0,0,0,0,0,0,0,-1024,-1024,-1024,-1024,7.9,2288,0
3292,-32,-95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-95,-32,0,100,0,0,0,0,0,0,0,0,0,0,0,0,-1024,-1024,-1024,-1024,7.9,2292,0
3296,-31,-91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-91,-31,0,100,0,0,0,0,0,0,0,0,0,0,0,0,-1024,-1024,-1024,-1024,7.9,2296,0
3300,-30,-88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-88,-30,0,100,0,0,0,0,0,0,0,0,0,0,0,0,-1024,-1024,-1024,-1024,7.9,2300,0
3304,-29,-86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-86,-29,0,100,0,0,0,0,0,0,0,0,0,0,0,0,-1024,-1024,-1024,-1024,7.9,2304,0
3308,-28,-84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-84,-28,0,100,0,0,0,0,0,0,0,0,0,0,0,0,-1024,-1024,-1024,-1024,7.9,2308,0
3312,-27,-83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-83,-27,0,100,0,0,0,0,0,0,0,0,0,0,0,0,-1024,-1024,-1024,-1024,7.9,2312,0
3316,-26,-81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-81,-26,0,100,0,0,0,0,0,0,0,0,0,0,0,0,-1024,-1024,-1024,-1024,7.9,2316,0
3320,-25,-79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-79,-25,0,100,0,0,0,0,0,0,0,0,0,0,0,0,-1024,-1024,-1024,-1024,7.9,2320,0
3324,-25,-77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-77,-25,0,100,0,0,0,0,0,0,0,0,0,0,0,0,-1024,-1024,-1024,-1024,7.9,2324,0
3328,-24,-75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-75,-24,0,100,0,0,0,0,0,0,0,0,0,0,0,0,-1024,-1024,-1024,-1024,7.9,2328,0
3332,-23,-74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-74,-23,0,100,0,0,0,0,0,0,0,0,0,0,0,0,-1024,-1024,-1024,-1024,7.9,2332,0
3336,-23,-72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-72,-23,0,100,0,0,0,0,0,0,0,0,0,0,0,0,-1024,-1024,-1024,-1024,7.9,2336,0
3340,-22,-70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-70,-22,0,100,0,0,0,0,0,0,0,0,0,0,0,0,-1024,-1024,-1024,-1024,7.9,2340,0
3344,-22,-66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-66,-22,0,100,0,0,0,0,0,0,0,0,0,0,0,0,-1024,-1024,-1024,-1024,7.9,2344,0
3348,-22,-63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-63,-22,0,100,0,0,0,0,0,0,0,0,0,0,0,0,-1024,-1024,-1024,-1024,7.9,2348,0
3352,-22,-59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-59,-22,0,100,0,0,0,0,0,0,0,0,0,0,0,0,-1024,-1024,-1024,-1024,7.9,2352,0
